R-Peak Detected	 	RR Interval(ms)	Abnormal or Normal
228213	227563	650	Normal Interval
228811	228213	598	Small Interval (RR<600ms)
229508	228811	697	Normal Interval
230119	229508	611	Normal Interval
230727	230119	608	Normal Interval
231333	230727	606	Normal Interval
231800	231333	467	Small Interval (RR<600ms)
232477	231800	677	Normal Interval
233091	232477	614	Normal Interval
233752	233091	661	Normal Interval
234425	233752	673	Normal Interval
235069	234425	644	Normal Interval
235702	235069	633	Normal Interval
236319	235702	617	Normal Interval
236947	236319	628	Normal Interval
237572	236947	625	Normal Interval
238175	237572	603	Normal Interval
238769	238175	594	Small Interval (RR<600ms)
239386	238769	617	Normal Interval
240036	239386	650	Normal Interval
240636	240036	600	Normal Interval
241330	240636	694	Normal Interval
241961	241330	631	Normal Interval
242608	241961	647	Normal Interval
243213	242608	605	Normal Interval
243716	243213	503	Small Interval (RR<600ms)
244405	243716	689	Normal Interval
245013	244405	608	Normal Interval
245666	245013	653	Normal Interval
246305	245666	639	Normal Interval
246841	246305	536	Small Interval (RR<600ms)
247558	246841	717	Normal Interval
248175	247558	617	Normal Interval
248811	248175	636	Normal Interval
249425	248811	614	Normal Interval
250044	249425	619	Normal Interval
250638	250044	594	Small Interval (RR<600ms)
251230	250638	592	Small Interval (RR<600ms)
251858	251230	628	Normal Interval
252475	251858	617	Normal Interval
253094	252475	619	Normal Interval
253711	253094	617	Normal Interval
254327	253711	616	Normal Interval
254925	254327	598	Small Interval (RR<600ms)
255513	254925	588	Small Interval (RR<600ms)
256105	255513	592	Small Interval (RR<600ms)
256677	256105	572	Small Interval (RR<600ms)
257286	256677	609	Normal Interval
257913	257286	627	Normal Interval
258552	257913	639	Normal Interval
259211	258552	659	Normal Interval
259830	259211	619	Normal Interval
260441	259830	611	Normal Interval
261041	260441	600	Normal Interval
261661	261041	620	Normal Interval
262283	261661	622	Normal Interval
262869	262283	586	Small Interval (RR<600ms)
263502	262869	633	Normal Interval
264091	263502	589	Small Interval (RR<600ms)
264772	264091	681	Normal Interval
265413	264772	641	Normal Interval
266022	265413	609	Normal Interval
266650	266022	628	Normal Interval
267272	266650	622	Normal Interval
267869	267272	597	Small Interval (RR<600ms)
268475	267869	606	Normal Interval
269055	268475	580	Small Interval (RR<600ms)
269688	269055	633	Normal Interval
